Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell
ENSG00000130511,SSBP4,-479.46174224204793,0.010070493454179255,479.46174224206982,0.20440251572327045
ENSG00000105655,ISYNA1,-269.44545127476681,0.001342732460557234,269.44545127477051,0.074423480083857449
ENSG00000268199,CTD-3137H5.1,15.213937230812789,0.00033568311513930849,-15.213937230811299,0.0
ENSG00000105656,ELL,-155.08566532708113,0.012084592145015106,155.0856653270823,0.066037735849056603
ENSG00000105701,FKBP8,498.61246316772031,2.3239342061094326,-498.61246316771502,1.1509433962264151
ENSG00000105700,KXD1,-559.98429279430286,0.085934877475662974,559.98429279430673,0.68763102725366876
ENSG00000268030,AC005253.2,24.897168526274001,0.001342732460557234,-24.897168526276346,0.0
ENSG00000268983,AC005253.4,23.891078816550653,0.0010070493454179255,-23.891078816550522,0.0
ENSG00000221983,UBA52,-1046.5297222317115,3.9070157771064116,1046.5297222317079,12.60482180293501
ENSG00000006015,C19orf60,-695.56201087698219,0.066465256797583083,695.56201087696172,0.68134171907756813
ENSG00000167487,KLHL26,-129.73816187561147,0.0,129.73816187561619,0.010482180293501049
ENSG00000105662,CRTC1,-176.75012322889535,0.0,176.75012322888921,0.019916142557651992
ENSG00000005007,UPF1,-136.9827107349127,0.0023497818059751594,136.98271073491196,0.026205450733752619
ENSG00000105669,COPE,-910.38888810312801,0.25511916750587443,910.38888810310345,1.720125786163522
ENSG00000105671,DDX49,-394.92543681098761,0.014770057066129574,394.92543681096925,0.20230607966457023
ENSG00000051128,HOMER3,-234.99568799460923,0.00033568311513930849,234.99568799461801,0.03668763102725367
ENSG00000269019,AC005932.1,-66.007335703800948,0.0,66.007335703799257,0.0020964360587002098
ENSG00000064607,SUGP2,-248.94378822401117,0.017119838872104734,248.94378822402533,0.10482180293501048
ENSG00000269131,AC004447.2,-74.287816112153578,0.0,74.287816112158353,0.0031446540880503146
ENSG00000105676,ARMC6,-324.39262825732669,0.014098690835850957,324.39262825733249,0.16037735849056603
ENSG00000181035,SLC25A42,-80.144040213244267,0.013763007720711649,80.144040213239563,0.040880503144654086
ENSG00000064545,TMEM161A,-297.12499828042706,0.0030211480362537764,297.12499828045731,0.099580712788259959
ENSG00000064489,MEF2BNB-MEF2B,-17.540108525346174,0.00067136623027861698,17.540108525344937,0.0020964360587002098
ENSG00000213999,MEF2B,-47.507671918849553,0.0,47.507671918853461,0.0010482180293501049
ENSG00000254901,MEF2BNB,-355.65395022371405,0.02484055052030883,355.65395022371683,0.1750524109014675
ENSG00000064490,RFXANK,-474.66049514435844,0.045988586774085266,474.66049514440147,0.35324947589098532
ENSG00000184162,NR2C2AP,-330.08025701319076,0.0077207116482040953,330.0802570131724,0.14255765199161424
ENSG00000105705,SUGP1,-163.93881158291956,0.014098690835850957,163.93881158292632,0.063941299790356398
ENSG00000129933,MAU2,-70.459764720491719,0.014434373950990266,70.459764720492132,0.033542976939203356
ENSG00000167491,GATAD2A,-201.79808699086988,0.025176233635448138,201.79808699086567,0.1069182389937107
ENSG00000178093,TSSK6,-21.568570701655762,0.00033568311513930849,21.568570701655148,0.0010482180293501049
ENSG00000186010,NDUFA13,-1036.299299989993,0.26720375965088955,1036.2992999899416,2.1362683438155137
