Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell
ENSG00000082074,FYB,-132.99534312637215,0.0088945362134688691,-390.10787360765329,0.0061646851607221487,30.742459369507916,0.22981366459627328,384.71078347640616,0.37275064267352187,-20.710106175314127,0.043010752688172046,128.36008006344252,0.2733812949640288
ENSG00000269215,AC008964.1,-0.65335182607539233,0.0012706480304955528,-38.998031989185257,0.00044033465433729633,-3.9627636123623096,0.0,-9.5746276099933869,0.0,-0.69982120692947314,0.0053763440860215058,53.888596244546271,0.0071942446043165471
ENSG00000153071,DAB2,-43.269078748186885,0.0,-124.85905697220929,0.0,51.112926019894083,0.037267080745341616,128.44283999913694,0.043701799485861184,-3.7854423113400832,0.0053763440860215058,-7.6421879872908818,0.0
ENSG00000171522,PTGER4,-103.61487046382895,0.0012706480304955528,-293.47150887097547,0.0017613386173491853,107.73976663411723,0.2236024844720497,167.53421255627725,0.11311053984575835,-25.365607807148727,0.0,147.178007951555,0.19424460431654678
ENSG00000113638,TTC33,13.747765039018525,0.012706480304955527,-15.632899659885643,0.0070453544693967413,7.5601750304059543,0.018633540372670808,-21.357871141989328,0.0025706940874035988,27.560678530831836,0.043010752688172046,-11.877847798382328,0.0
ENSG00000132356,PRKAA1,114.56028322677111,0.052096569250317665,-247.9453358045044,0.0035226772346983706,16.268607936038403,0.031055900621118012,3.675997972967826,0.017994858611825194,115.19380488600861,0.27419354838709675,-1.7533582172889803,0.014388489208633094
ENSG00000145592,RPL37,-21.674305318375453,1.758576874205845,-1370.7115518181815,0.1686481726111845,300.86572328254977,13.086956521739131,516.8537525037201,4.8637532133676089,329.85095103875238,27.43548387096774,244.81543031150872,6.1726618705035969
ENSG00000132357,CARD6,-31.137459927287416,0.0,16.169494805209172,0.0022016732716864818,3.8838466647403957,0.0062111801242236021,-15.390688579053382,0.0,31.974307582635802,0.021505376344086023,-5.4995005462426896,0.0
ENSG00000083720,OXCT1,179.89976328301901,0.10038119440914867,-351.96201439792122,0.0048436811977102595,38.178124831986004,0.12422360248447205,-55.90075431212054,0.0051413881748071976,136.77956290217344,0.43010752688172044,53.005317692870641,0.093525179856115109
ENSG00000205765,C5orf51,86.564462954071558,0.019059720457433291,-145.06458117388715,0.00044033465433729633,-11.010176017303184,0.0,27.130984497091518,0.010282776349614395,51.884989655585336,0.086021505376344093,-9.505679915559881,0.0
ENSG00000151876,FBXO4,87.597255593928452,0.062261753494282084,-313.51394585871543,0.0017613386173491853,72.067843306329181,0.11801242236024845,9.101238999740259,0.02570694087403599,140.32339089419651,0.41935483870967744,4.4242170645174062,0.028776978417266189
ENSG00000198865,CCDC152,-5.2870956399657079,0.015247776365946633,-204.53410761006793,0.0017613386173491853,136.55309124175602,0.16770186335403728,-2.5774678098558144,0.010282776349614395,62.290896105349233,0.12365591397849462,13.554683712775191,0.014388489208633094
ENSG00000250722,SEPP1,-60.583561494159945,0.010165184243964422,-3.8457536925273139,0.032144429766622636,62.642746927283973,0.16149068322981366,-22.583768092982762,0.010282776349614395,30.514920238150612,0.11827956989247312,-6.1445838857647566,0.0071942446043165471
ENSG00000271788,CTD-2201E18.5,81.640552349416993,0.0038119440914866584,-58.933787153696365,0.0,-4.1780447960127551,0.0,-10.094779041297917,0.0,-4.8268095158905142,0.0,-3.6071318425203271,0.0
ENSG00000251131,CTD-2035E11.3,-45.477737942687739,0.0050825921219822112,-219.118325897218,0.00044033465433729633,33.323898403995997,0.043478260869565216,120.02730419722809,0.048843187660668377,-7.967073365620438,0.021505376344086023,119.21193460429176,0.086330935251798566
ENSG00000177721,ANXA2R,-49.287796585345625,0.0025412960609911056,-173.94258710234638,0.0,18.645402978170065,0.024844720496894408,14.575498196497108,0.010282776349614395,19.896784802624538,0.048387096774193547,170.11269771040276,0.18705035971223022
ENSG00000215068,AC025171.1,55.798686102879977,0.011435832274459974,-115.02023786119842,0.00088066930867459266,-9.4228128456973437,0.0,38.088610487263487,0.010282776349614395,18.429423167726892,0.026881720430107527,12.126330949032496,0.0071942446043165471
ENSG00000272144,CTD-2035E11.5,16.572861775297739,0.0025412960609911056,-79.787333669471209,0.0,48.302725643105198,0.012422360248447204,-13.666786788826066,0.0,33.462037830758391,0.026881720430107527,-4.8835047908658424,0.0
ENSG00000172262,ZNF131,87.153863337418684,0.060991105463786534,-302.23623284072295,0.0039630118890356669,46.749179111066539,0.093167701863354033,22.938408950039033,0.030848329048843187,113.13868128312464,0.33870967741935482,32.256100159070741,0.050359712230215826
ENSG00000112972,HMGCS1,25.388854733344854,0.019059720457433291,-206.27593954120488,0.001321003963011889,44.52091500669048,0.043478260869565216,29.976419989145693,0.017994858611825194,73.771912451204642,0.16129032258064516,32.617837360811912,0.028776978417266189
ENSG00000151882,CCL28,-30.000871913368137,0.0012706480304955528,-127.21709616468672,0.0,79.915997617419421,0.043478260869565216,36.979880059558219,0.0077120822622107968,24.068045789875825,0.021505376344086023,16.254044611201138,0.0071942446043165471
ENSG00000151881,C5orf28,-2.8488669351183997,0.019059720457433291,-207.92883882259127,0.001321003963011889,69.21657013055723,0.086956521739130432,13.70654693771923,0.012853470437017995,78.252194493288101,0.14516129032258066,49.602394196152289,0.035971223021582732
