Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell
ENSG00000180354,MTURN,99.399039700232962,0.19215686274509805,-162.55798323183026,0.007048458149779736,-18.891132734326977,0.012882447665056361,82.050076265924758,0.048284625158831002
ENSG00000180233,ZNRF2,-4.2556476793829816,0.0039215686274509803,-74.017896123103711,0.0,103.93525492533878,0.0080515297906602248,-25.661711122854733,0.0
ENSG00000106100,NOD1,8.5857984575341177,0.0078431372549019607,-58.79369445137705,0.0,70.591436757380706,0.0032206119162640902,-20.383540763539049,0.0
ENSG00000272638,GS1-114I9.1,58.654990707466204,0.0039215686274509803,-36.200877897210404,0.0,-9.9034119709995814,0.0,-12.550700839253899,0.0
ENSG00000006625,GGCT,471.81566822728212,2.1019607843137256,-608.1112882904124,0.007048458149779736,165.78551738999727,0.21256038647342995,-29.489897326862472,0.13595933926302414
ENSG00000106105,GARS,215.43250955938325,0.96862745098039216,-494.35393305744634,0.018942731277533039,11.765658935971979,0.078904991948470213,267.15576456210613,0.28589580686149935
ENSG00000106125,FAM188B,59.038303552220626,0.023529411764705882,-81.272118619235087,0.0,-22.233473860151829,0.0,44.467288927165754,0.0038119440914866584
ENSG00000240583,AQP1,58.463942304973372,0.54117647058823526,-670.92304944779971,0.014096916299559472,-187.55108937112985,0.011272141706924315,800.01019651392699,0.77636594663278269
ENSG00000154678,PDE1C,-4.0666184421980036,0.0,-36.200877897214077,0.0,52.818197178665912,0.0016103059581320451,-12.550700839254011,0.0
ENSG00000106355,LSM5,364.20120802455074,2.3333333333333335,-786.82897565708254,0.014977973568281937,139.3556618088256,0.28663446054750402,283.27210582367553,0.54002541296060991
ENSG00000105778,AVL9,43.303280880458438,0.050980392156862744,-181.32859589016084,0.0004405286343612335,166.39046873491532,0.03542673107890499,-28.365153725211204,0.0063532401524777635
ENSG00000273014,RP11-225B17.2,35.714818353803395,0.019607843137254902,-58.205262448660527,0.0,-15.923113647849222,0.0,38.413557742703645,0.0038119440914866584
ENSG00000170852,KBTBD2,10.676104655937854,0.039215686274509803,-130.19773761997101,0.0066079295154185024,32.788158533601525,0.01610305958132045,86.73347443042924,0.03303684879288437
ENSG00000122642,FKBP9,98.788195788889652,0.023529411764705882,-85.720634681513559,0.0,-23.450446756483192,0.0,10.382885649102633,0.0012706480304955528
ENSG00000122643,NT5C3A,101.6557067799847,0.6470588235294118,-189.24930250770205,0.11101321585903083,7.9982184179647016,0.11755233494363929,79.595377309751456,0.21601016518424396
ENSG00000164610,RP9,160.30796091211056,0.29803921568627451,-288.81564440168535,0.001762114537444934,84.311527541121109,0.040257648953301126,44.196155948453445,0.053367217280813214
ENSG00000122507,BBS9,31.581632088213333,0.011764705882352941,-55.048164431459924,0.0,42.5515126990026,0.0016103059581320451,-19.084980355753459,0.0
ENSG00000173852,DPY19L1,38.135799226346663,0.031372549019607843,-141.64074053291941,0.0,62.700544761492338,0.0096618357487922701,40.804396545079399,0.012706480304955527
ENSG00000122557,HERPUD2,41.703801387887438,0.14117647058823529,-98.430033767443859,0.034801762114537442,96.827004448482114,0.064412238325281798,-40.10077206893061,0.036848792884371026
ENSG00000271122,RP11-379H18.1,78.949418280176687,0.031372549019607843,-99.686780325451593,0.0,35.601361613519998,0.0032206119162640902,-14.863999568241564,0.0012706480304955528
ENSG00000228878,AC007551.3,-4.0666184421980347,0.0,-36.200877897214326,0.0,52.818197178666452,0.0032206119162640902,-12.55070083925426,0.0
ENSG00000122545,SEPT7,274.98494312324175,2.0509803921568626,-758.21914806960547,0.04713656387665198,337.30355137944662,0.49919484702093397,145.93065356691272,0.45870393900889456
ENSG00000122547,EEPD1,44.685975410102067,0.035294117647058823,-115.42249063287002,0.0,94.382527547021624,0.011272141706924315,-23.646012324256734,0.0025412960609911056
ENSG00000164542,KIAA0895,83.848268447273483,0.031372549019607843,-62.772078050450489,0.000881057268722467,-23.889409655098987,0.0,2.8132192582772793,0.0038119440914866584
ENSG00000011426,ANLN,72.074621030174058,0.2196078431372549,-400.75452617687449,0.0004405286343612335,-79.279699992847142,0.0096618357487922701,407.9596051395543,0.16010165184243966
ENSG00000136250,AOAH,-24.815771841470358,0.015686274509803921,-317.49628375986896,0.000881057268722467,449.96123679326104,0.17391304347826086,-107.64918119191853,0.0012706480304955528
ENSG00000235728,AC007349.5,-4.0666184421979832,0.0,-36.200877897214056,0.0,52.818197178665585,0.0016103059581320451,-12.55070083925399,0.0
ENSG00000155849,ELMO1,61.420887838700693,0.10588235294117647,-211.98222626903336,0.0013215859030837004,226.52577763127192,0.067632850241545889,-75.964439200941371,0.0012706480304955528
