Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell,Cluster 7 Weight,Cluster 7 UMI counts/cell
ENSG00000111269,CREBL2,68.578244207978202,0.04711580801409071,7.2237170593830653,0.048275862068965517,-63.436092220473448,0.016518424396442185,-27.893698726518402,0.015424164524421594,8.4866263251906773,0.096774193548387094,9.6878471938509403,0.043165467625899283,-2.6466438394090939,0.0
ENSG00000183150,GPR19,-92.904768142197838,0.0,-5.9318324000960621,0.0,109.3424110862824,0.010165184243964422,-15.913674507844075,0.0,11.748788253608101,0.016129032258064516,-5.686377266298984,0.0,-0.65454702345887716,0.0
ENSG00000111276,CDKN1B,-171.77232159924458,0.10435931307793923,-7.7817612171752515,0.10344827586206896,131.28111838969696,0.23634053367217281,0.91328454107283952,0.10025706940874037,11.965293619526573,0.30645161290322581,19.12728979050161,0.1223021582733813,16.267096475615539,0.375
ENSG00000178878,APOLD1,-203.30610065783321,0.0026420079260237781,16.468717350113668,0.027586206896551724,193.3401506820779,0.050825921219822108,-34.626960276739595,0.0025706940874035988,5.4451218054520716,0.037634408602150539,24.407573134752646,0.021582733812949641,-1.7285020378167817,0.0
ENSG00000213782,DDX47,-165.68191700910117,0.001321003963011889,51.754691753611738,0.048275862068965517,-32.347246137714805,0.0063532401524777635,47.005793537906676,0.017994858611825194,96.030745087521936,0.11290322580645161,4.68318032872748,0.0071942446043165471,-1.4452475609524658,0.0
ENSG00000247498,RP11-392P7.6,-51.358719702914719,0.00088066930867459266,16.679230176420806,0.0068965517241379309,-17.244961753540487,0.0012706480304955528,59.544968048996147,0.0077120822622107968,-2.0995411961575714,0.0053763440860215058,-4.9510684169006876,0.0,-0.56990715590223673,0.0
ENSG00000111291,GPRC5D,-36.216825420516798,0.0,-2.3123908788968861,0.0,-12.550700839253993,0.0,-6.2035865647647253,0.0,-2.9662393343091153,0.0,-2.2167057390804623,0.0,62.466448776821437,0.125
ENSG00000013583,HEBP1,-761.60325346988668,0.13254073095552621,-11.225269641757375,0.33793103448275863,487.98230011708387,1.1944091486658195,28.787981971393034,0.38046272493573263,316.91810772876266,5.403225806451613,-55.444565523234807,0.035971223021582732,-5.4153011823830548,0.125
ENSG00000084444,KIAA1467,-105.56046232671972,0.00044033465433729633,-7.3826760152063802,0.0,58.755191034191881,0.010165184243964422,-19.805937723553789,0.0,48.670669570744892,0.026881720430107527,26.137855572568913,0.0071942446043165471,-0.81464011202277409,0.0
ENSG00000134531,EMP1,-134.36668586324924,0.0,44.819225406920019,0.041379310344827586,-46.563884532970754,0.0,152.9429516850112,0.038560411311053984,-7.6608289287383444,0.0053763440860215058,-8.2241168361916994,0.0,-0.94666093078465419,0.0
