Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell
ENSG00000127954,STEAP4,-7.983105382737989,0.0,-49.59360483563588,0.001321003963011889,101.79726254788594,0.016949152542372881,-33.019126975723189,0.0,-11.201425353789416,0.0
ENSG00000105793,GTPBP10,62.232041670997866,0.13089005235602094,-190.26358160157361,0.001321003963011889,73.951339115576602,0.033898305084745763,6.343976009850107,0.017721518987341773,47.736224805153228,0.018656716417910446
ENSG00000157224,CLDN12,59.675632198845321,0.005235602094240838,-36.216825420518063,0.0,-6.5863271240307091,0.0,-12.598543409163094,0.0,-4.2739362451337364,0.0
ENSG00000058091,CDK14,28.482788431123623,0.005235602094240838,-49.785065514458331,0.0,-9.0538230107752824,0.0,-17.318450795429886,0.0,47.674550889538359,0.0037313432835820895
ENSG00000223969,AC002456.2,-3.0459769508229315,0.0,-36.21682542051807,0.0,56.13528202563807,0.0024213075060532689,-12.598543409163096,0.0,-4.2739362451337382,0.0
ENSG00000157240,FZD1,9.1058491642785437,0.010471204188481676,-82.941645985854819,0.0,62.013803257265749,0.0096852300242130755,21.609911276421631,0.0037974683544303796,-9.7879177121129946,0.0
ENSG00000127989,MTERF,88.18898399243848,0.15183246073298429,-170.43505735279629,0.0022016732716864818,4.8605803836318309,0.0096852300242130755,37.826541959081403,0.017721518987341773,39.558951017648781,0.018656716417910446
ENSG00000127914,AKAP9,51.733426961894011,0.59685863874345546,-277.15099700156009,0.091589608102157646,-15.002199816945643,0.10411622276029056,197.35935405791435,0.310126582278481,43.060415798703545,0.16791044776119404
ENSG00000001630,CYP51A1,100.26078396042098,0.062827225130890049,-111.92406373706818,0.00088066930867459266,-24.158845962486996,0.0,51.499052416974934,0.0075949367088607592,-15.676926677836631,0.0
ENSG00000001631,KRIT1,150.28419140653921,0.33507853403141363,-300.73437898490874,0.0039630118890356669,68.783312293927338,0.046004842615012108,47.000116050811783,0.051898734177215189,34.666759233644889,0.044776119402985072
