Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell
ENSG00000014257,ACPP,-139.74575242749637,0.0,129.0330351598935,0.011254019292604502,10.712717267596581,0.0086206896551724137
ENSG00000138246,DNAJC13,-208.83997384211102,0.0016874789065136687,171.18171048259302,0.03215434083601286,37.658263359527254,0.040229885057471264
ENSG00000240303,ACAD11,-60.012763360229812,0.00033749578130273371,39.090423502482011,0.0016077170418006431,20.92233985774434,0.0057471264367816091
ENSG00000113971,NPHP3,-83.980563135494705,0.00033749578130273371,25.874427203140357,0.0016077170418006431,58.106135932350739,0.017241379310344827
ENSG00000081307,UBA5,-359.07058854678166,0.0097873776577792771,105.43637849536215,0.070739549839228297,253.63421005139026,0.42816091954022989
ENSG00000248724,NPHP3-AS1,-47.252511546009721,0.0,-9.9193594943026628,0.0,57.171871040313512,0.0028735632183908046
ENSG00000170819,BFSP2,-47.252511546005465,0.0,52.802249655360221,0.0032154340836012861,-5.549738109352206,0.0
ENSG00000091527,CDV3,-339.9412165588717,0.035774552818089771,210.71536543613365,0.14630225080385853,129.22585112271904,0.36494252873563221
ENSG00000163781,TOPBP1,-256.38674919248001,0.0067499156260546747,60.981342623294424,0.024115755627009645,195.40540656920297,0.21264367816091953
ENSG00000144867,SRPRB,-396.66702594386874,0.0077624029699628755,131.75996328313659,0.077170418006430874,264.90706266075534,0.47413793103448276
ENSG00000154917,RAB6B,81.384495593104958,0.20924738440769491,-190.32553635748505,0.011254019292604502,108.94104076437229,0.60344827586206895
ENSG00000163785,RYK,-204.51843855313803,0.00067499156260546742,73.649632782331352,0.014469453376205787,130.86880577079461,0.074712643678160925
ENSG00000114019,AMOTL2,-47.252511546010808,0.0,-9.9193594943030732,0.0,57.171871040316219,0.0028735632183908046
ENSG00000129055,ANAPC13,-564.4300795770198,0.016537293283833951,314.89207205230025,0.20578778135048231,249.53800752471665,0.69827586206896552
ENSG00000182923,CEP63,-295.64982173130159,0.011137360782990213,113.92654229305585,0.056270096463022508,181.72327943826471,0.28448275862068967
ENSG00000154928,EPHB1,-66.129127838365832,0.0,73.895896818367191,0.0032154340836012861,-7.7667689800035289,0.0
ENSG00000073711,PPP2R3A,-47.252511546010723,0.0,-9.9193594943029844,0.0,57.171871040315239,0.0028735632183908046
ENSG00000174579,MSL2,-118.31781268230183,0.0084373945325683427,59.812250339422093,0.017684887459807074,58.505562342879138,0.066091954022988508
ENSG00000114054,PCCB,-238.53388100147458,0.074249071886601417,-102.48233352195845,0.027331189710610933,341.01621452343875,0.9683908045977011
ENSG00000118007,STAG1,-86.524271736196653,0.023962200472494095,18.738940048521691,0.024115755627009645,67.785331687678863,0.11494252873563218
ENSG00000168917,SLC35G2,-87.223694800307626,0.0,69.355669295190765,0.0064308681672025723,17.868025505111213,0.0028735632183908046
ENSG00000273486,RP11-731C17.2,-57.796975157412575,0.0,48.493474043750091,0.0016077170418006431,9.3035011136600669,0.0028735632183908046
ENSG00000239213,RP11-85F14.5,-192.84285321189049,0.0026999662504218697,117.73769459963763,0.027331189710610933,75.105158612262201,0.060344827586206899
ENSG00000158092,NCK1,-315.55895477289062,0.010462369220384746,164.0986865074195,0.077170418006430874,151.46026826549291,0.23850574712643677
ENSG00000174564,IL20RB,-47.252511546010744,0.0,-9.9193594943030057,0.0,57.171871040315494,0.0057471264367816091
ENSG00000158163,DZIP1L,-47.252511546009735,0.0,52.802249655363667,0.0016077170418006431,-5.5497381093526448,0.0
ENSG00000138231,DBR1,-188.16897139804246,0.0067499156260546747,47.644700036643286,0.020900321543408359,140.52427136141344,0.14942528735632185
ENSG00000114098,ARMC8,-130.60664166894182,0.095511306108673644,-32.974770433782261,0.061093247588424437,163.58141210273473,0.59195402298850575
ENSG00000158186,MRAS,-155.96639910050757,0.0,168.32842959983969,0.017684887459807074,-12.362030499332677,0.0028735632183908046
ENSG00000114107,CEP70,-129.39743905227093,0.0043874451569355386,-39.590256713527879,0.0016077170418006431,168.98769576579275,0.094827586206896547
ENSG00000158234,FAIM,-295.56206945783538,0.0023624704691191361,110.49783984627972,0.046623794212218649,185.06422961156355,0.20402298850574713
ENSG00000051382,PIK3CB,-153.39266827244811,0.0037124535943300709,53.504432295649615,0.01607717041800643,99.888235976799763,0.077586206896551727
ENSG00000175110,MRPS22,-305.65465455432417,0.053999325008437397,8.4339975076940483,0.069131832797427656,297.22065704662475,0.7816091954022989
ENSG00000184432,COPB2,-283.4160586327572,0.057374282821464728,52.785567470932648,0.083601286173633438,230.63049116180724,0.61781609195402298
ENSG00000248932,RP11-319G6.1,21.57706811637177,0.00067499156260546742,-13.836016874622592,0.0,-7.7410512417503829,0.0
ENSG00000114115,RBP1,-47.252511546010744,0.0,52.802249655365998,0.0016077170418006431,-5.549738109352762,0.0
ENSG00000163864,NMNAT3,-395.93364213726244,0.02733715828552143,-109.08411984877672,0.012861736334405145,505.01776198606115,1.1408045977011494
ENSG00000114120,SLC25A36,-222.96303613503426,0.0067499156260546747,100.46717395418385,0.035369774919614148,122.49586218084623,0.12643678160919541
ENSG00000155893,ACPL2,-61.721045384728306,0.00033749578130273371,69.943692118731406,0.0080385852090032149,-8.2226467340026019,0.0
ENSG00000177311,ZBTB38,-142.83867668583073,0.0023624704691191361,117.20117320298787,0.019292604501607719,25.637503482839978,0.034482758620689655
ENSG00000155903,RASA2,-127.29558595969927,0.0020249746878164025,81.566651136356782,0.011254019292604502,45.728934823340438,0.022988505747126436
ENSG00000114125,RNF7,-714.46978902955561,0.058386770165372935,601.61993302901897,0.62057877813504825,112.84985600049568,0.69827586206896552
ENSG00000069849,ATP1B3,-466.9162985273872,0.27033412082348973,151.1247815501346,0.42604501607717044,315.79151697726064,2.0660919540229883
